Type,ID,Attributes,SourceID,TargetID
Edge,,,106,115
Edge,,,106,111
Edge,,,107,109
Edge,,,108,110
Edge,,,109,119
Edge,,,109,111
Edge,,,109,116
Edge,,,110,113
Edge,,,110,116
Edge,,,113,117
Edge,,,116,120
Edge,,,116,120
Edge,,,89,153
Edge,,,88,160
Edge,,,95,127
Edge,,,86,133
Edge,,,112,148
Edge,,,121,144
Edge,,,121,124
Edge,,,121,128
Edge,,,121,143
Edge,,,122,150
Edge,,,122,158
Edge,,,122,145
Edge,,,122,152
Edge,,,122,138
Edge,,,123,142
Edge,,,123,145
Edge,,,123,152
Edge,,,123,148
Edge,,,124,132
Edge,,,124,152
Edge,,,124,160
Edge,,,124,137
Edge,,,124,128
Edge,,,125,156
Edge,,,125,143
Edge,,,125,158
Edge,,,125,145
Edge,,,126,133
Edge,,,126,154
Edge,,,126,155
Edge,,,127,159
Edge,,,127,130
Edge,,,127,147
Edge,,,128,131
Edge,,,129,159
Edge,,,130,133
Edge,,,130,140
Edge,,,130,132
Edge,,,131,153
Edge,,,131,155
Edge,,,131,145
Edge,,,132,150
Edge,,,133,146
Edge,,,133,152
Edge,,,133,137
Edge,,,133,155
Edge,,,133,158
Edge,,,134,139
Edge,,,134,147
Edge,,,135,141
Edge,,,135,156
Edge,,,136,160
Edge,,,136,143
Edge,,,136,142
Edge,,,137,145
Edge,,,137,160
Edge,,,138,159
Edge,,,138,152
Edge,,,139,142
Edge,,,140,151
Edge,,,140,153
Edge,,,140,141
Edge,,,140,156
Edge,,,141,142
Edge,,,141,158
Edge,,,142,144
Edge,,,143,150
Edge,,,143,149
Edge,,,144,152
Edge,,,144,148
Edge,,,144,156
Edge,,,144,154
Edge,,,145,149
Edge,,,146,156
Edge,,,147,155
Edge,,,148,151
Edge,,,149,159
Edge,,,149,152
Edge,,,150,155
Edge,,,151,153
Edge,,,153,158
Edge,,,154,157
Edge,,,155,160
Edge,,,132,200
Edge,,,133,168
Edge,,,147,168
Edge,,,140,182
Edge,,,154,190
Edge,,,161,167
Edge,,,161,170
Edge,,,161,173
Edge,,,161,172
Edge,,,162,169
Edge,,,162,180
Edge,,,162,181
Edge,,,162,171
Edge,,,163,184
Edge,,,163,166
Edge,,,163,180
Edge,,,163,189
Edge,,,164,198
Edge,,,164,195
Edge,,,164,175
Edge,,,164,180
Edge,,,165,174
Edge,,,165,169
Edge,,,165,195
Edge,,,165,187
Edge,,,165,173
Edge,,,166,186
Edge,,,167,199
Edge,,,167,176
Edge,,,167,169
Edge,,,167,185
Edge,,,167,197
Edge,,,168,176
Edge,,,168,177
Edge,,,168,175
Edge,,,169,195
Edge,,,169,187
Edge,,,169,189
Edge,,,169,178
Edge,,,169,198
Edge,,,170,191
Edge,,,170,172
Edge,,,171,191
Edge,,,171,173
Edge,,,171,174
Edge,,,172,191
Edge,,,172,193
Edge,,,172,194
Edge,,,172,195
Edge,,,173,198
Edge,,,173,186
Edge,,,173,188
Edge,,,173,179
Edge,,,175,195
Edge,,,175,196
Edge,,,175,179
Edge,,,176,192
Edge,,,176,193
Edge,,,176,190
Edge,,,177,189
Edge,,,178,195
Edge,,,178,180
Edge,,,178,193
Edge,,,179,200
Edge,,,180,187
Edge,,,180,184
Edge,,,181,198
Edge,,,181,182
Edge,,,182,186
Edge,,,182,197
Edge,,,183,192
Edge,,,183,184
Edge,,,184,194
Edge,,,185,188
Edge,,,185,194
Edge,,,185,191
Edge,,,186,189
Edge,,,187,196
Edge,,,188,196
Edge,,,190,192
Edge,,,190,199
Edge,,,190,199
Edge,,,192,195
Edge,,,193,198
Edge,,,194,195
Edge,,,194,196
Edge,,,196,200
Edge,,,1,2
Edge,,,2,3
Edge,,,3,4
Edge,,,4,5
Edge,,,5,6
Edge,,,6,7
Edge,,,7,8
Edge,,,8,9
Edge,,,9,10
Edge,,,10,11
Edge,,,11,12
Edge,,,12,13
Edge,,,13,14
Edge,,,14,15
Edge,,,15,16
Edge,,,16,17
Edge,,,17,18
Edge,,,18,19
Edge,,,19,20
Edge,,,20,21
Edge,,,21,22
Edge,,,22,23
Edge,,,23,24
Edge,,,24,25
Edge,,,25,26
Edge,,,26,27
Edge,,,27,28
Edge,,,28,29
Edge,,,29,30
Edge,,,30,31
Edge,,,31,32
Edge,,,32,33
Edge,,,33,34
Edge,,,34,35
Edge,,,35,36
Edge,,,36,37
Edge,,,37,38
Edge,,,38,39
Edge,,,39,40
Edge,,,41,42
Edge,,,42,43
Edge,,,43,44
Edge,,,44,45
Edge,,,45,46
Edge,,,46,47
Edge,,,47,48
Edge,,,48,49
Edge,,,49,50
Edge,,,50,51
Edge,,,51,52
Edge,,,52,53
Edge,,,53,54
Edge,,,54,55
Edge,,,55,56
Edge,,,56,57
Edge,,,57,58
Edge,,,58,59
Edge,,,59,60
Edge,,,60,61
Edge,,,61,62
Edge,,,62,63
Edge,,,63,64
Edge,,,64,65
Edge,,,65,66
Edge,,,66,67
Edge,,,67,68
Edge,,,68,69
Edge,,,69,70
Edge,,,70,71
Edge,,,71,72
Edge,,,72,73
Edge,,,73,74
Edge,,,74,75
Edge,,,75,76
Edge,,,76,77
Edge,,,77,78
Edge,,,78,79
Edge,,,79,80
Edge,,,81,82
Edge,,,82,83
Edge,,,83,84
Edge,,,84,85
Edge,,,85,86
Edge,,,86,87
Edge,,,87,88
Edge,,,88,89
Edge,,,89,90
Edge,,,90,91
Edge,,,91,92
Edge,,,92,93
Edge,,,93,94
Edge,,,94,95
Edge,,,95,96
Edge,,,96,97
Edge,,,97,98
Edge,,,98,99
Edge,,,99,100
Edge,,,100,101
Edge,,,101,102
Edge,,,102,103
Edge,,,103,104
Edge,,,104,105
Edge,,,105,106
Edge,,,106,107
Edge,,,107,108
Edge,,,108,109
Edge,,,109,110
Edge,,,110,111
Edge,,,111,112
Edge,,,112,113
Edge,,,113,114
Edge,,,114,115
Edge,,,115,116
Edge,,,116,117
Edge,,,117,118
Edge,,,118,119
Edge,,,119,120
Edge,,,121,122
Edge,,,122,123
Edge,,,123,124
Edge,,,124,125
Edge,,,125,126
Edge,,,126,127
Edge,,,127,128
Edge,,,128,129
Edge,,,129,130
Edge,,,130,131
Edge,,,131,132
Edge,,,132,133
Edge,,,133,134
Edge,,,134,135
Edge,,,135,136
Edge,,,136,137
Edge,,,137,138
Edge,,,138,139
Edge,,,139,140
Edge,,,140,141
Edge,,,141,142
Edge,,,142,143
Edge,,,143,144
Edge,,,144,145
Edge,,,145,146
Edge,,,146,147
Edge,,,147,148
Edge,,,148,149
Edge,,,149,150
Edge,,,150,151
Edge,,,151,152
Edge,,,152,153
Edge,,,153,154
Edge,,,154,155
Edge,,,155,156
Edge,,,156,157
Edge,,,157,158
Edge,,,158,159
Edge,,,159,160
Edge,,,161,162
Edge,,,162,163
Edge,,,163,164
Edge,,,164,165
Edge,,,165,166
Edge,,,166,167
Edge,,,167,168
Edge,,,168,169
Edge,,,169,170
Edge,,,170,171
Edge,,,171,172
Edge,,,172,173
Edge,,,173,174
Edge,,,174,175
Edge,,,175,176
Edge,,,176,177
Edge,,,177,178
Edge,,,178,179
Edge,,,179,180
Edge,,,180,181
Edge,,,181,182
Edge,,,182,183
Edge,,,183,184
Edge,,,184,185
Edge,,,185,186
Edge,,,186,187
Edge,,,187,188
Edge,,,188,189
Edge,,,189,190
Edge,,,190,191
Edge,,,191,192
Edge,,,192,193
Edge,,,193,194
Edge,,,194,195
Edge,,,195,196
Edge,,,196,197
Edge,,,197,198
Edge,,,198,199
Edge,,,199,200
